system,point name,units,uuid
SW,SDH.SW.MSA.ATS-ES.PEAK DEMAND,W,61536265-9b8a-5b58-a09b-12a891c1123d
SW,SDH.SW.MSA.MS41B.PEAK DEMAND,W,31ef56c8-8754-59ff-ad60-54f7b928303b
SW,SDH.SW.MSA.CD4RA.PWR REAL 3 P,W,11333919-6ef5-518d-a216-c5df9947cc9d
SW,SDH.SW.MSA.ATS-ES.PWR REAL 3 P,W,d7708ce8-2d66-5ef7-bce4-538653c6e385
SW,SDH.SW.MSB.MS41A.PEAK DEMAND,W,3a86070d-df0e-545d-ae23-ca182b3ffd07
SW,SDH.SW.MSB.ATS-EL.PEAK DEMAND,W,19d17380-f4fa-530d-9d36-007fa4219317
SW,SDH.SW.MSA.MSB.TIE.PWR REAL 3P,W,39849b92-767f-52dc-8fed-2fa07582662b
SW,SDH.SW.MSB.MAIN.PEAK DEMAND,W,0ffaf933-3048-5ef1-92b1-14efe0974662
SW,SDH.SW.MSA.CD4RA.PEAK DEMAND,W,f79ec950-90ce-5103-b862-11ac7c8c4a35
SW,SDH.SW.MSA.MS41A.PWR REAL 3 P,W,291a4016-52b1-5f27-ac95-ea6841d78fcf
SW,SDH.SW.MSA.CH-2.PEAK DEMAND,W,8cd18dfe-c062-59fa-8d72-7d12dec6e448
SW,SDH.SW.MSA.MDC.PWR REAL 3 P,W,4a579316-f367-5b7b-9032-ee3badcae130
SW,SDH.SW.MSA.ATS-E2.PWR REAL 3 P,W,c204df21-8f2d-5150-b862-80f0dbb6267d
SW,SDH.SW.MSB.MS41B.PWR REAL 3 P,W,85a9304b-b3dd-5a65-96b3-7429483fa3a1
SW,SDH.SW.MSB.ATS-E2.PEAK DEMAND,W,0b78aea0-a821-5481-8df2-430948b0b14d
SW,SDH.SW.MSA.MSB.PEAK DEMAND,W,b8e66de3-9c09-5839-8529-64fb09a8479d
SW,SDH.SW.MSA.MAIN.PEAK DEMAND,W,326dea71-ff51-5c4f-a287-07479ee64c89
SW,SDH.SW.MSA.MAIN.PWR REAL 3 P,W,692aae26-5a44-54a6-a439-cb3d68b27262
SW,SDH.SW.MSA.MSB.PWR REAL 3 P,W,2f36edf6-515c-5792-bd3e-d4914df7e412
SW,SDH.SW.MSB.ATS-EL.PWR REAL 3 P,W,4aa0eae2-7e21-5eef-9be0-e6b4e213d2cc
SW,SDH.SW.MSB.CB4A.PEAK DEMAND,W,87ee6d97-31fb-5fcd-a148-9748ee278847
SW,SDH.SW.MSA.ATS-E1.PWR REAL 3 P,W,a1e3051c-7daa-5939-b0bb-5d0303d210cc
SW,SDH.SW.MSA.MSB.TIE.PEAK DEMAND,W,812c1908-c0bc-52f8-bb11-3671b63834f7
SW,SDH.SW.MSB.CB4A.PWR REAL 3 P,W,d5881562-a7ec-50e6-a403-f8b50a502e3c
SW,SDH.SW.MSB.MS41B.PEAK DEMAND,W,482746b0-9460-5388-b732-63d222e69aca
SW,SDH.SW.MSA.CD41A.PEAK DEMAND,W,a4f7d1db-7c0b-5eee-812c-a282b2e144f5
SW,SDH.SW.MSA.CH-2.PWR REAL 3 P,W,61fbecb1-0010-5e9c-9003-ae389e9eb939
SW,SDH.SW.MSB.ATS-E02.REAL 3 PH,W,e7c58cf5-b6c1-51c8-ada4-3297b38ff8fc
SW,SDH.SW.MSA.MDC.PEAK DEMAND,W,fef7b9a2-30c3-5394-8e68-779f514deb62
SW,SDH.SW.MSA.ATS-E1.PEAK DEMAND,W,c54f3a8a-ab19-5fc0-87fa-f00312ff79aa
SW,SDH.SW.MSA.MS41B.PWR REAL 3 P,W,2e740e29-d884-5c11-bcb1-f3dd00022af2
SW,SDH.SW.MSA.MS41A.PEAK DEMAND,W,610269c5-bdd9-55cb-8f81-bb7e15902717
SW,SDH.SW.MSB.ATS-E02.PEAK DEMAND,W,d0f6017c-6290-53d9-a64e-e117292ba6d7
SW,SDH.SW.MSA.CD41A.PWR REAL 3 P,W,fded2b46-a97d-5d41-8e54-8c92eb640489
SW,SDH.SW.MSB.MS41A.PWR REAL 3 P,W,210cf704-724b-5309-af69-4ea6670ea8a2
SW,SDH.SW.MSB.MAIN.PWR REAL 3 P,W,657fbf20-2496-5506-928c-8e7f175be033